Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
completo_hp,Chrome 118.0.0.0,,,2023-10-19 22:00:11,2023-10-19 22:01:17,1m - 6.005s,PASSED
,,,,,,,
Test Cases/RetoHp/borrar_hp,Chrome 118.0.0.0,,,2023-10-19 22:00:11,2023-10-19 22:00:25,13.890s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-19 22:00:11,2023-10-19 22:00:13,1.964s,PASSED
"navigateToUrl(""https://demoqa.com/webtables"")",Chrome 118.0.0.0,,,2023-10-19 22:00:13,2023-10-19 22:00:21,7.663s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-10-19 22:00:21,2023-10-19 22:00:21,0.371s,PASSED
waitForPageLoad(30),Chrome 118.0.0.0,,,2023-10-19 22:00:21,2023-10-19 22:00:21,0.107s,PASSED
"click(findTestObject(""reto_hp/borrar_1""))",Chrome 118.0.0.0,,,2023-10-19 22:00:21,2023-10-19 22:00:22,0.495s,PASSED
"click(findTestObject(""reto_hp/borrar_2""))",Chrome 118.0.0.0,,,2023-10-19 22:00:22,2023-10-19 22:00:22,0.464s,PASSED
"click(findTestObject(""reto_hp/borrar_3""))",Chrome 118.0.0.0,,,2023-10-19 22:00:22,2023-10-19 22:00:23,0.542s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-19 22:00:23,2023-10-19 22:00:25,2.017s,PASSED
,,,,,,,
Test Cases/new add,Chrome 118.0.0.0,,,2023-10-19 22:00:25,2023-10-19 22:00:30,4.713s,PASSED
"click(findTestObject(""Object Repository/new add/Page_DEMOQA/button_Add""))",Chrome 118.0.0.0,,,2023-10-19 22:00:25,2023-10-19 22:00:25,0.348s,PASSED
"setText(findTestObject(""reto_hp/first_name""), nombre)",Chrome 118.0.0.0,,,2023-10-19 22:00:25,2023-10-19 22:00:26,0.988s,PASSED
"setText(findTestObject(""reto_hp/last_name""), apellido)",Chrome 118.0.0.0,,,2023-10-19 22:00:26,2023-10-19 22:00:27,0.567s,PASSED
"setText(findTestObject(""reto_hp/email""), email)",Chrome 118.0.0.0,,,2023-10-19 22:00:27,2023-10-19 22:00:28,0.594s,PASSED
