Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/make appointmet/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 118.0.0.0,,,2023-10-20 18:18:48,2023-10-20 18:18:48,0.487s,PASSED
,,,,,,,
Test Cases/MakeAppointment/MAKE APPOINTMENT,Chrome 118.0.0.0,,,2023-10-20 18:18:48,2023-10-20 18:18:53,4.381s,PASSED
waitForPageLoad(20),Chrome 118.0.0.0,,,2023-10-20 18:18:48,2023-10-20 18:18:48,0.012s,PASSED
"scrollToElement(findTestObject(""make appointmet/facility""), 0)",Chrome 118.0.0.0,,,2023-10-20 18:18:48,2023-10-20 18:18:49,0.280s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/make appointmet/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), facility, true)",Chrome 118.0.0.0,,,2023-10-20 18:18:49,2023-10-20 18:18:50,1.032s,PASSED
"setText(findTestObject(""Object Repository/make appointmet/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""), date)",Chrome 118.0.0.0,,,2023-10-20 18:18:50,2023-10-20 18:18:50,0.608s,PASSED
"setText(findTestObject(""Object Repository/make appointmet/Page_CURA Healthcare Service/textarea_Comment_comment""), coment)",Chrome 118.0.0.0,,,2023-10-20 18:18:50,2023-10-20 18:18:51,0.771s,PASSED
"click(findTestObject(""Object Repository/make appointmet/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 118.0.0.0,,,2023-10-20 18:18:51,2023-10-20 18:18:52,0.497s,PASSED
"verifyElementText(findTestObject(""make appointmet/verification""), ""Appointment Confirmation"")",Chrome 118.0.0.0,,,2023-10-20 18:18:52,2023-10-20 18:18:52,0.502s,PASSED
"click(findTestObject(""Object Repository/make appointmet/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 118.0.0.0,,,2023-10-20 18:18:52,2023-10-20 18:18:53,0.670s,PASSED
,,,,,,,
Test Cases/MakeAppointment/MAKE APPOINTMENT,Chrome 118.0.0.0,,,2023-10-20 18:18:53,2023-10-20 18:18:57,4.203s,PASSED
waitForPageLoad(20),Chrome 118.0.0.0,,,2023-10-20 18:18:53,2023-10-20 18:18:53,0.013s,PASSED
"scrollToElement(findTestObject(""make appointmet/facility""), 0)",Chrome 118.0.0.0,,,2023-10-20 18:18:53,2023-10-20 18:18:53,0.271s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/make appointmet/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), facility, true)",Chrome 118.0.0.0,,,2023-10-20 18:18:53,2023-10-20 18:18:54,1.049s,PASSED
"setText(findTestObject(""Object Repository/make appointmet/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""), date)",Chrome 118.0.0.0,,,2023-10-20 18:18:54,2023-10-20 18:18:55,0.609s,PASSED
"setText(findTestObject(""Object Repository/make appointmet/Page_CURA Healthcare Service/textarea_Comment_comment""), coment)",Chrome 118.0.0.0,,,2023-10-20 18:18:55,2023-10-20 18:18:55,0.757s,PASSED
"click(findTestObject(""Object Repository/make appointmet/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 118.0.0.0,,,2023-10-20 18:18:55,2023-10-20 18:18:56,0.572s,PASSED
"verifyElementText(findTestObject(""make appointmet/verification""), ""Appointment Confirmation"")",Chrome 118.0.0.0,,,2023-10-20 18:18:56,2023-10-20 18:18:56,0.389s,PASSED
"click(findTestObject(""Object Repository/make appointmet/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 118.0.0.0,,,2023-10-20 18:18:56,2023-10-20 18:18:57,0.531s,PASSED
