Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
completo_hp,,,,2023-10-20 18:44:36,2023-10-20 18:44:44,8.115s,FAILED
,,,,,,,
Test Cases/RetoHp/borrar_hp,,,,2023-10-20 18:44:36,2023-10-20 18:44:40,4.148s,FAILED
"openBrowser("""")",,,,2023-10-20 18:44:36,2023-10-20 18:44:40,3.833s,FAILED
,,,,,,,
Test Cases/RetoHp/reto_hp,,,,2023-10-20 18:44:40,2023-10-20 18:44:44,3.444s,FAILED
delay(3),,,,2023-10-20 18:44:40,2023-10-20 18:44:43,3.101s,PASSED
"click(findTestObject(""reto_hp/edit_0""))",,,,2023-10-20 18:44:43,2023-10-20 18:44:44,0.090s,FAILED
,,,,,,,
Test Cases/RetoHp/borrall,,,,2023-10-20 18:44:44,2023-10-20 18:44:44,0.208s,FAILED
"scrollToElement(findTestObject(""reto_hp/down""), 4)",,,,2023-10-20 18:44:44,2023-10-20 18:44:44,0.054s,FAILED
