Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
completo_hp,,,,2023-10-19 22:09:23,2023-10-19 22:09:32,8.783s,FAILED
,,,,,,,
Test Cases/RetoHp/borrar_hp,,,,2023-10-19 22:09:24,2023-10-19 22:09:28,3.766s,FAILED
"openBrowser("""")",,,,2023-10-19 22:09:24,2023-10-19 22:09:28,3.344s,FAILED
,,,,,,,
Test Cases/new add,,,,2023-10-19 22:09:28,2023-10-19 22:09:28,0.313s,FAILED
"click(findTestObject(""Object Repository/new add/Page_DEMOQA/button_Add""))",,,,2023-10-19 22:09:28,2023-10-19 22:09:28,0.121s,FAILED
,,,,,,,
Test Cases/new add,,,,2023-10-19 22:09:28,2023-10-19 22:09:28,0.093s,FAILED
"click(findTestObject(""Object Repository/new add/Page_DEMOQA/button_Add""))",,,,2023-10-19 22:09:28,2023-10-19 22:09:28,0.072s,FAILED
,,,,,,,
Test Cases/new add,,,,2023-10-19 22:09:28,2023-10-19 22:09:28,0.075s,FAILED
"click(findTestObject(""Object Repository/new add/Page_DEMOQA/button_Add""))",,,,2023-10-19 22:09:28,2023-10-19 22:09:28,0.058s,FAILED
,,,,,,,
Test Cases/new add,,,,2023-10-19 22:09:28,2023-10-19 22:09:28,0.089s,FAILED
"click(findTestObject(""Object Repository/new add/Page_DEMOQA/button_Add""))",,,,2023-10-19 22:09:28,2023-10-19 22:09:28,0.066s,FAILED
,,,,,,,
Test Cases/new add,,,,2023-10-19 22:09:29,2023-10-19 22:09:29,0.058s,FAILED
"click(findTestObject(""Object Repository/new add/Page_DEMOQA/button_Add""))",,,,2023-10-19 22:09:29,2023-10-19 22:09:29,0.045s,FAILED
,,,,,,,
Test Cases/new add,,,,2023-10-19 22:09:29,2023-10-19 22:09:29,0.047s,FAILED
"click(findTestObject(""Object Repository/new add/Page_DEMOQA/button_Add""))",,,,2023-10-19 22:09:29,2023-10-19 22:09:29,0.034s,FAILED
,,,,,,,
Test Cases/RetoHp/reto_hp,,,,2023-10-19 22:09:29,2023-10-19 22:09:32,3.295s,FAILED
delay(3),,,,2023-10-19 22:09:29,2023-10-19 22:09:32,3.089s,PASSED
"click(findTestObject(""reto_hp/edit_0""))",,,,2023-10-19 22:09:32,2023-10-19 22:09:32,0.038s,FAILED
,,,,,,,
Test Cases/RetoHp/borrall,,,,2023-10-19 22:09:32,2023-10-19 22:09:32,0.260s,FAILED
"scrollToElement(findTestObject(""reto_hp/down""), 0)",,,,2023-10-19 22:09:32,2023-10-19 22:09:32,0.050s,FAILED
