Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
completo_hp,,,,2023-10-19 22:20:16,2023-10-19 22:20:30,14.071s,FAILED
,,,,,,,
Test Cases/RetoHp/borrar_hp,,,,2023-10-19 22:20:16,2023-10-19 22:20:20,4.022s,FAILED
"openBrowser("""")",,,,2023-10-19 22:20:17,2023-10-19 22:20:20,3.748s,FAILED
,,,,,,,
Test Cases/RetoHp/reto_hp,,,,2023-10-19 22:20:20,2023-10-19 22:20:24,3.496s,FAILED
delay(3),,,,2023-10-19 22:20:21,2023-10-19 22:20:24,3.099s,PASSED
"click(findTestObject(""reto_hp/edit_0""))",,,,2023-10-19 22:20:24,2023-10-19 22:20:24,0.092s,FAILED
,,,,,,,
Test Cases/RetoHp/borall_noscroll,,,,2023-10-19 22:20:24,2023-10-19 22:20:30,6.300s,FAILED
delay(6),,,,2023-10-19 22:20:24,2023-10-19 22:20:30,6.074s,PASSED
"click(findTestObject(""reto_hp/borrar_1""))",,,,2023-10-19 22:20:30,2023-10-19 22:20:30,0.051s,FAILED
